reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
0,0,0,0,0,0,0,0
10000,69.35,5.51650416312887,85,7.26939203354298,7.84764194582064,6.69114212126532,8.90985324947589
20000,105.68,5.90818641096121,120,11.0775681341719,11.696874885845,10.4582613824988,12.5786163522013
30000,128.43,6.50292086665521,142,13.4622641509434,14.1439120405299,12.7806162613569,14.8846960167715
40000,146.62,5.93190313031785,160,15.3689727463312,15.990765527287,14.7471799653755,16.7714884696017
50000,159.87,6.17203697364496,175,16.7578616352201,17.4048256785791,16.1108975918611,18.3438155136268
60000,170.69,6.16719080491616,187,17.8920335429769,18.5384896021925,17.2455774837614,19.601677148847
70000,180.06,5.28542879771902,192,18.874213836478,19.4282420123395,18.3201856606165,20.125786163522
80000,187.06,5.73984830686827,201,19.6079664570231,20.2096277051225,19.0063052089237,21.0691823899371
90000,193.52,5.38700268978938,205,20.2851153039832,20.8497906383427,19.7204399696238,21.4884696016771
1e+05,199.72,5.28401439067004,211,20.9350104821803,21.4888903973449,20.3811305670157,22.1174004192872
110000,202.93,4.5687895972389,216,21.2714884696017,21.750397232415,20.7925797067884,22.6415094339623
120000,206.8,4.72688421091889,222,21.6771488469602,22.1726293722137,21.1816683217066,23.2704402515723
130000,210.56,4.66519457300983,221,22.0712788259958,22.5602929321813,21.5822647198103,23.1656184486373
140000,214.34,3.97776649171696,223,22.4675052410901,22.8844618964064,22.0505485857739,23.3752620545073
150000,215.35,4.16909020426677,224,22.5733752620545,23.0103868138644,22.1363637102446,23.4800838574423
160000,217.79,3.55418376314763,227,22.8291404612159,23.2016964112314,22.4565845112005,23.7945492662474
170000,220.34,3.68513256480714,230,23.0964360587002,23.4827182981978,22.7101538192026,24.1090146750524
180000,221.57,3.22945722055486,230,23.2253668763103,23.5638844046703,22.8868493479502,24.1090146750524
190000,223.38,3.32052083051117,230,23.4150943396226,23.7631573197601,23.0670313594852,24.1090146750524
