reads,mean,sd,max,perc_compl,sd_upr_perc_compl,sd_lwr_perc_compl,max_perc_compl
0,0,0,0,0,0,0,0
10000,28.93,4.88091521472493,39,3.03249475890985,3.54412109169024,2.52086842612946,4.08805031446541
20000,51.71,6.67771054941873,68,5.42033542976939,6.1203050890376,4.72036577050118,7.12788259958071
30000,70.75,7.23260714131537,88,7.41614255765199,8.1742774781253,6.65800763717868,9.22431865828092
40000,90.11,6.96440444639233,114,9.44549266247379,10.1755140929132,8.71547123203435,11.9496855345912
50000,106.23,8.75809005515138,132,11.1352201257862,12.0532589156343,10.217181335938,13.8364779874214
60000,117.23,8.48510876224169,139,12.2882599580713,13.1776843566291,11.3988355595134,14.5702306079665
70000,131.98,8.20073906499415,150,13.8343815513627,14.6939978055549,12.9747652971704,15.7232704402516
80000,142.81,8.70932972406168,162,14.9696016771488,15.8825293211805,14.0566740331172,16.9811320754717
90000,152.99,8.52506109460024,173,16.0366876310273,16.9302999050944,15.1430753569601,18.1341719077568
1e+05,164.17,8.51030866275446,182,17.2085953878407,18.100661285404,16.3165294902773,19.0775681341719
110000,175.19,8.39154817706964,196,18.3637316561845,19.2433488655209,17.484114446848,20.5450733752621
120000,182.77,8.54796921951511,205,19.1582809224319,20.0542944674544,18.2622673774093,21.4884696016771
130000,189.48,8.2308608727806,206,19.8616352201258,20.7244088965179,18.9988615437337,21.5932914046122
140000,198.1,9.50544766718198,219,20.7651991614256,21.761577323604,19.7688209992472,22.9559748427673
150000,205.72,9.04542967358643,224,21.5639412997904,22.5120995464975,20.6157830530832,23.4800838574423
160000,212.46,9.20959096032857,234,22.2704402515723,23.2358061803279,21.3050743228167,24.5283018867925
170000,220.44,8.59917778545476,244,23.1069182389937,24.0082995582238,22.2055369197636,25.5765199161426
180000,224.45,8.96274556599751,246,23.5272536687631,24.4667448182387,22.5877625192875,25.7861635220126
190000,230.16,8.0962892111077,251,24.125786163522,24.9744537957136,23.2771185313304,26.3102725366876
2e+05,236.5,7.8964254795151,252,24.79035639413,25.6180739496347,23.9626388386253,26.4150943396226
210000,240.73,8.27171766511123,262,25.2337526205451,26.1008089795714,24.3666962615187,27.4633123689727
220000,245.65,8.55448963581656,265,25.7494758909853,26.6461729178005,24.8527788641702,27.7777777777778
230000,252.18,7.73341170284219,271,26.4339622641509,27.2445924216816,25.6233321066203,28.4067085953878
240000,255.62,8.82349938596595,277,26.7945492662474,27.7194443800803,25.8696541524145,29.0356394129979
