# BUSCO version is: 4.0.6 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Duplicated	transcript_15235	3973.2	1984
5951at33208a	Duplicated	transcript_16052	3971.4	1983
5951at33208a	Duplicated	transcript_18110	3762.7	1885
9639at33208a	Duplicated	transcript_29991	1675.4	1279
9639at33208a	Duplicated	transcript_46905	1575.6	1079
9639at33208a	Duplicated	transcript_37794	1575.0	1079
13816at33208a	Fragmented	transcript_101245	786.4	559
14776at33208a	Duplicated	transcript_28595	1639.7	1400
14776at33208a	Duplicated	transcript_24391	1639.4	1400
14776at33208a	Duplicated	transcript_24905	1639.3	1400
16244at33208a	Duplicated	transcript_14560	2385.9	1679
16244at33208a	Duplicated	transcript_14972	2381.4	1692
16244at33208a	Duplicated	transcript_15842	2373.6	1683
40200at33208a	Missing
45934at33208a	Duplicated	transcript_59226	851.5	865
45934at33208a	Duplicated	transcript_67368	840.1	824
45934at33208a	Duplicated	transcript_72876	829.5	776
49474at33208a	Duplicated	transcript_97439	251.2	577
49474at33208a	Duplicated	transcript_97880	240.8	529
49474at33208a	Duplicated	transcript_109554	238.6	509
50756at33208a	Duplicated	transcript_92989	237.1	569
50756at33208a	Duplicated	transcript_96398	237.0	569
50756at33208a	Duplicated	transcript_89963	236.9	569
56573at33208a	Duplicated	transcript_80782	1139.6	917
56573at33208a	Duplicated	transcript_76041	1139.4	917
56573at33208a	Duplicated	transcript_102443	1053.5	712
57158at33208a	Duplicated	transcript_72148	1708.9	1057
57158at33208a	Duplicated	transcript_77669	1654.1	1024
57158at33208a	Duplicated	transcript_80671	1593.8	987
63697at33208a	Duplicated	transcript_84124	1849.5	933
63697at33208a	Duplicated	transcript_80700	1845.3	979
63697at33208a	Duplicated	transcript_94384	1842.1	895
64435at33208a	Missing
65302at33208a	Missing
66018at33208a	Duplicated	transcript_44948	1306.2	858
66018at33208a	Duplicated	transcript_41628	1306.1	858
66018at33208a	Duplicated	transcript_39103	1305.8	858
75406at33208a	Duplicated	transcript_119885	408.3	535
75406at33208a	Duplicated	transcript_115411	408.2	536
75406at33208a	Duplicated	transcript_108401	408.1	534
76852at33208a	Duplicated	transcript_90992	672.5	580
76852at33208a	Duplicated	transcript_50863	671.1	580
76852at33208a	Duplicated	transcript_89704	670.0	580
84980at33208a	Duplicated	transcript_95706	626.4	521
84980at33208a	Duplicated	transcript_89018	626.3	521
84980at33208a	Duplicated	transcript_92912	626.2	521
88053at33208a	Missing
92367at33208a	Missing
99614at33208a	Duplicated	transcript_81341	1203.2	945
99614at33208a	Duplicated	transcript_80460	1043.5	831
99987at33208a	Complete	transcript_102981	411.9	565
102804at33208a	Duplicated	transcript_83288	1014.3	897
102804at33208a	Duplicated	transcript_82037	1014.3	897
102804at33208a	Duplicated	transcript_98715	987.5	833
103854at33208a	Duplicated	transcript_102908	407.7	635
103854at33208a	Duplicated	transcript_102682	407.6	635
107151at33208a	Duplicated	transcript_100958	1180.4	781
107151at33208a	Duplicated	transcript_97801	1180.2	781
107151at33208a	Duplicated	transcript_102364	1117.0	751
107574at33208a	Missing
108764at33208a	Missing
109109at33208a	Complete	transcript_111489	987.9	605
111730at33208a	Duplicated	transcript_109911	733.5	617
111730at33208a	Duplicated	transcript_115834	695.2	579
111730at33208a	Duplicated	transcript_119054	662.6	539
111746at33208a	Missing
114954at33208a	Complete	transcript_58208	542.9	456
115878at33208a	Complete	transcript_130225	287.1	251
118209at33208a	Duplicated	transcript_57320	1495.6	865
118209at33208a	Duplicated	transcript_52649	1495.5	865
118209at33208a	Duplicated	transcript_49898	1495.3	865
119252at33208a	Duplicated	transcript_107459	788.6	545
119252at33208a	Duplicated	transcript_110983	733.0	508
119591at33208a	Duplicated	transcript_75340	1305.0	992
119591at33208a	Duplicated	transcript_74712	1304.1	992
119591at33208a	Duplicated	transcript_67651	1303.7	992
121127at33208a	Duplicated	transcript_85675	428.5	531
121127at33208a	Duplicated	transcript_75619	428.0	531
121127at33208a	Duplicated	transcript_74143	427.9	531
123923at33208a	Missing
124302at33208a	Missing
127766at33208a	Duplicated	transcript_95306	621.5	620
127766at33208a	Duplicated	transcript_95968	617.2	620
127766at33208a	Duplicated	transcript_91215	616.2	553
129179at33208a	Duplicated	transcript_108586	139.0	391
129179at33208a	Duplicated	transcript_115701	132.1	406
130245at33208a	Missing
130256at33208a	Complete	transcript_112405	147.2	536
131349at33208a	Duplicated	transcript_68283	1217.8	909
131349at33208a	Duplicated	transcript_67639	1217.8	909
131349at33208a	Duplicated	transcript_70351	1209.2	899
131848at33208a	Duplicated	transcript_87656	424.6	432
131848at33208a	Duplicated	transcript_84647	424.3	432
131848at33208a	Duplicated	transcript_76709	423.6	432
132087at33208a	Missing
134492at33208a	Missing
135294at33208a	Complete	transcript_77515	442.0	412
137383at33208a	Missing
