# BUSCO version is: 4.0.6 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Duplicated	transcript_613	3971.7	1981
5951at33208a	Duplicated	transcript_503	3971.4	1981
5951at33208a	Duplicated	transcript_685	3919.7	1951
9639at33208a	Missing
13816at33208a	Missing
14776at33208a	Missing
16244at33208a	Missing
40200at33208a	Missing
45934at33208a	Missing
49474at33208a	Complete	transcript_1781	238.6	757
50756at33208a	Missing
56573at33208a	Complete	transcript_4488	1069.1	744
57158at33208a	Missing
63697at33208a	Duplicated	transcript_4983	1841.9	998
63697at33208a	Duplicated	transcript_3092	1840.0	998
63697at33208a	Duplicated	transcript_3390	1838.6	998
64435at33208a	Missing
65302at33208a	Complete	transcript_3484	969.3	968
66018at33208a	Complete	transcript_1535	1297.2	860
75406at33208a	Duplicated	transcript_10306	414.9	533
75406at33208a	Duplicated	transcript_14825	408.5	511
76852at33208a	Complete	transcript_1331	736.2	840
84980at33208a	Duplicated	transcript_5977	759.5	622
84980at33208a	Duplicated	transcript_4464	758.5	621
84980at33208a	Duplicated	transcript_4243	758.5	621
88053at33208a	Complete	transcript_8020	201.8	365
92367at33208a	Missing
99614at33208a	Complete	transcript_4152	1207.1	945
99987at33208a	Duplicated	transcript_7893	419.1	597
99987at33208a	Duplicated	transcript_9688	407.8	544
99987at33208a	Duplicated	transcript_10466	387.9	513
102804at33208a	Duplicated	transcript_6780	1013.7	897
102804at33208a	Duplicated	transcript_12200	872.9	706
103854at33208a	Missing
107151at33208a	Duplicated	transcript_12733	1011.0	665
107151at33208a	Duplicated	transcript_15653	864.1	576
107574at33208a	Missing
108764at33208a	Missing
109109at33208a	Duplicated	transcript_9110	984.6	604
109109at33208a	Duplicated	transcript_12681	893.4	558
111730at33208a	Duplicated	transcript_11383	728.8	617
111730at33208a	Duplicated	transcript_13957	683.2	557
111730at33208a	Duplicated	transcript_15048	619.6	519
111746at33208a	Missing
114954at33208a	Fragmented	transcript_18403	69.4	190
115878at33208a	Missing
118209at33208a	Complete	transcript_4524	217.3	892
119252at33208a	Duplicated	transcript_11379	785.4	540
119252at33208a	Duplicated	transcript_12347	770.3	525
119591at33208a	Duplicated	transcript_4352	1303.0	986
119591at33208a	Duplicated	transcript_4048	1302.9	986
119591at33208a	Duplicated	transcript_4650	1257.0	915
121127at33208a	Missing
123923at33208a	Missing
124302at33208a	Missing
127766at33208a	Missing
129179at33208a	Duplicated	transcript_11832	140.2	391
129179at33208a	Duplicated	transcript_16087	127.0	398
129179at33208a	Duplicated	transcript_7334	124.9	401
130245at33208a	Duplicated	transcript_8937	344.2	432
130245at33208a	Duplicated	transcript_8213	343.9	432
130245at33208a	Duplicated	transcript_9665	339.9	419
130256at33208a	Complete	transcript_12676	277.0	485
131349at33208a	Missing
131848at33208a	Missing
132087at33208a	Missing
134492at33208a	Duplicated	transcript_5230	839.3	869
134492at33208a	Duplicated	transcript_6216	811.2	826
135294at33208a	Missing
137383at33208a	Missing
139188at33208a	Complete	transcript_8130	568.8	600
143619at33208a	Duplicated	transcript_13098	259.5	290
143619at33208a	Duplicated	transcript_5485	257.2	290
143997at33208a	Missing
146671at33208a	Missing
147873at33208a	Duplicated	transcript_11516	827.4	578
