# BUSCO version is: 4.0.6 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Duplicated	transcript_2636	3971.7	1981
5951at33208a	Duplicated	transcript_2178	3971.4	1981
5951at33208a	Duplicated	transcript_2128	3971.4	1981
9639at33208a	Duplicated	transcript_10211	1951.4	1329
9639at33208a	Duplicated	transcript_6273	1937.0	1436
13816at33208a	Fragmented	transcript_40794	736.0	498
14776at33208a	Complete	transcript_11017	1610.5	1266
16244at33208a	Complete	transcript_2454	2302.3	1502
40200at33208a	Missing
45934at33208a	Missing
49474at33208a	Duplicated	transcript_8073	238.6	757
49474at33208a	Duplicated	transcript_8133	238.4	757
50756at33208a	Missing
56573at33208a	Duplicated	transcript_14671	1130.0	917
56573at33208a	Duplicated	transcript_13463	1129.9	917
56573at33208a	Duplicated	transcript_21850	1069.2	744
57158at33208a	Missing
63697at33208a	Duplicated	transcript_22163	1840.2	998
63697at33208a	Duplicated	transcript_16506	1838.8	998
63697at33208a	Duplicated	transcript_15920	1838.5	998
64435at33208a	Missing
65302at33208a	Duplicated	transcript_16484	969.3	968
65302at33208a	Duplicated	transcript_15309	969.1	968
65302at33208a	Duplicated	transcript_17600	963.2	961
66018at33208a	Duplicated	transcript_8755	1297.8	860
66018at33208a	Duplicated	transcript_8100	1297.6	860
66018at33208a	Duplicated	transcript_7253	1297.4	860
75406at33208a	Duplicated	transcript_42133	414.9	533
75406at33208a	Duplicated	transcript_58658	411.8	505
75406at33208a	Duplicated	transcript_55494	408.5	511
76852at33208a	Duplicated	transcript_8231	737.8	840
76852at33208a	Duplicated	transcript_5810	736.2	840
84980at33208a	Duplicated	transcript_22263	758.7	621
84980at33208a	Duplicated	transcript_24399	703.5	586
88053at33208a	Complete	transcript_34711	201.8	365
92367at33208a	Missing
99614at33208a	Duplicated	transcript_22713	1207.5	945
99614at33208a	Duplicated	transcript_19453	1207.1	945
99614at33208a	Duplicated	transcript_22532	1131.5	881
99987at33208a	Duplicated	transcript_33798	419.1	597
99987at33208a	Duplicated	transcript_37064	407.6	544
99987at33208a	Duplicated	transcript_39337	388.2	513
102804at33208a	Duplicated	transcript_32544	1013.9	897
102804at33208a	Duplicated	transcript_29965	1013.7	897
102804at33208a	Duplicated	transcript_44711	915.1	757
103854at33208a	Duplicated	transcript_41883	403.7	635
103854at33208a	Duplicated	transcript_32067	402.7	635
107151at33208a	Duplicated	transcript_37814	1149.1	756
107151at33208a	Duplicated	transcript_44223	1127.8	731
107151at33208a	Duplicated	transcript_47262	1027.5	675
107574at33208a	Complete	transcript_20509	225.5	472
108764at33208a	Missing
109109at33208a	Duplicated	transcript_44807	985.3	603
109109at33208a	Duplicated	transcript_38156	984.6	604
109109at33208a	Duplicated	transcript_47810	894.9	559
111730at33208a	Duplicated	transcript_44659	728.8	617
111730at33208a	Duplicated	transcript_50785	675.7	551
111746at33208a	Missing
114954at33208a	Complete	transcript_11918	540.4	430
115878at33208a	Missing
118209at33208a	Duplicated	transcript_11968	1486.6	840
118209at33208a	Duplicated	transcript_24309	1434.6	813
119252at33208a	Duplicated	transcript_45964	785.5	540
119252at33208a	Duplicated	transcript_45338	785.4	540
119252at33208a	Duplicated	transcript_47204	785.4	523
119591at33208a	Duplicated	transcript_20471	1303.0	986
119591at33208a	Duplicated	transcript_19107	1302.9	986
119591at33208a	Duplicated	transcript_17700	1291.0	987
121127at33208a	Missing
123923at33208a	Missing
124302at33208a	Complete	transcript_22426	545.0	595
127766at33208a	Complete	transcript_36923	596.6	515
129179at33208a	Complete	transcript_38530	709.3	557
130245at33208a	Duplicated	transcript_36829	344.3	432
130245at33208a	Duplicated	transcript_33394	344.1	432
130245at33208a	Duplicated	transcript_34929	344.0	432
