# BUSCO version is: 4.0.6 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208a	Duplicated	transcript_4709	2837.2	1360
5951at33208a	Duplicated	transcript_5402	2600.8	1257
9639at33208a	Fragmented	transcript_23596	305.0	145
13816at33208a	Fragmented	transcript_13901	786.1	559
14776at33208a	Missing
16244at33208a	Complete	transcript_1082	2385.8	1679
40200at33208a	Missing
45934at33208a	Missing
49474at33208a	Duplicated	transcript_5833	249.0	752
49474at33208a	Duplicated	transcript_2591	247.4	577
50756at33208a	Duplicated	transcript_11586	236.9	569
50756at33208a	Duplicated	transcript_7552	235.7	569
56573at33208a	Missing
57158at33208a	Duplicated	transcript_9222	1654.1	1024
57158at33208a	Duplicated	transcript_6276	1594.3	978
57158at33208a	Duplicated	transcript_10055	1574.0	978
63697at33208a	Duplicated	transcript_10355	1849.4	934
63697at33208a	Duplicated	transcript_11771	1841.6	887
63697at33208a	Duplicated	transcript_14961	1730.2	806
64435at33208a	Missing
65302at33208a	Missing
66018at33208a	Duplicated	transcript_3244	1305.6	858
66018at33208a	Duplicated	transcript_6368	1285.8	803
75406at33208a	Duplicated	transcript_23454	408.3	535
75406at33208a	Duplicated	transcript_17856	408.1	534
76852at33208a	Missing
84980at33208a	Duplicated	transcript_9414	758.5	619
84980at33208a	Duplicated	transcript_8433	758.2	619
84980at33208a	Duplicated	transcript_10621	654.5	555
88053at33208a	Missing
92367at33208a	Missing
99614at33208a	Missing
99987at33208a	Complete	transcript_21051	279.0	431
102804at33208a	Duplicated	transcript_9910	1014.3	897
102804at33208a	Duplicated	transcript_9318	1014.1	897
102804at33208a	Duplicated	transcript_8708	1012.7	897
103854at33208a	Complete	transcript_15725	407.7	635
107151at33208a	Duplicated	transcript_13794	1180.1	781
107151at33208a	Duplicated	transcript_17041	1029.7	693
107574at33208a	Missing
108764at33208a	Missing
109109at33208a	Complete	transcript_19102	987.9	605
111730at33208a	Duplicated	transcript_18394	733.4	617
111730at33208a	Duplicated	transcript_22980	662.6	539
111746at33208a	Missing
114954at33208a	Fragmented	transcript_13447	132.1	210
115878at33208a	Complete	transcript_29978	287.1	251
118209at33208a	Complete	transcript_6263	1409.1	818
119252at33208a	Complete	transcript_18902	774.7	530
119591at33208a	Duplicated	transcript_8428	1304.6	992
119591at33208a	Duplicated	transcript_7494	1303.9	992
121127at33208a	Complete	transcript_7680	427.6	531
123923at33208a	Missing
124302at33208a	Missing
127766at33208a	Duplicated	transcript_11986	617.0	620
127766at33208a	Duplicated	transcript_13877	574.3	597
129179at33208a	Complete	transcript_21137	132.0	406
130245at33208a	Missing
130256at33208a	Duplicated	transcript_19639	292.1	542
130256at33208a	Duplicated	transcript_21341	285.4	538
131349at33208a	Complete	transcript_15394	708.8	570
131848at33208a	Duplicated	transcript_11633	424.7	432
131848at33208a	Duplicated	transcript_10394	424.2	432
131848at33208a	Duplicated	transcript_8774	423.6	432
132087at33208a	Missing
134492at33208a	Missing
135294at33208a	Missing
